,ds,holiday
327,2017-07-14,Sommerferien
328,2017-07-15,Sommerferien
329,2017-07-16,Sommerferien
330,2017-07-17,Sommerferien
331,2017-07-18,Sommerferien
332,2017-07-19,Sommerferien
333,2017-07-20,Sommerferien
334,2017-07-21,Sommerferien
335,2017-07-22,Sommerferien
336,2017-07-23,Sommerferien
337,2017-07-24,Sommerferien
338,2017-07-25,Sommerferien
339,2017-07-26,Sommerferien
340,2017-07-27,Sommerferien
341,2017-07-28,Sommerferien
342,2017-07-29,Sommerferien
343,2017-07-30,Sommerferien
344,2017-07-31,Sommerferien
345,2017-08-01,Sommerferien
346,2017-08-02,Sommerferien
347,2017-08-03,Sommerferien
348,2017-08-04,Sommerferien
349,2017-08-05,Sommerferien
350,2017-10-02,Herbstferien
351,2017-10-03,Herbstferien
352,2017-10-04,Herbstferien
353,2017-10-05,Herbstferien
354,2017-10-06,Herbstferien
355,2017-10-07,Herbstferien
356,2017-10-08,Herbstferien
357,2017-10-09,Herbstferien
358,2017-10-10,Herbstferien
359,2017-10-11,Herbstferien
360,2017-10-12,Herbstferien
361,2017-10-13,Herbstferien
362,2017-10-14,Herbstferien
363,2017-10-15,Herbstferien
364,2017-10-30,Herbstferien
365,2017-10-31,Herbstferien
366,2017-12-23,Weihnachtsferien
367,2017-12-24,Weihnachtsferien
368,2017-12-25,Weihnachtsferien
369,2017-12-26,Weihnachtsferien
370,2017-12-27,Weihnachtsferien
371,2017-12-28,Weihnachtsferien
372,2017-12-29,Weihnachtsferien
373,2017-12-30,Weihnachtsferien
374,2017-12-31,Weihnachtsferien
375,2018-01-01,Weihnachtsferien
376,2018-01-02,Weihnachtsferien
377,2018-01-03,Weihnachtsferien
378,2018-02-12,Winterferien
379,2018-02-13,Winterferien
380,2018-02-14,Winterferien
381,2018-02-15,Winterferien
382,2018-02-16,Winterferien
383,2018-02-17,Winterferien
384,2018-02-18,Winterferien
385,2018-02-19,Winterferien
386,2018-02-20,Winterferien
387,2018-02-21,Winterferien
388,2018-02-22,Winterferien
389,2018-02-23,Winterferien
390,2018-02-24,Winterferien
391,2018-03-29,Osterferien
392,2018-03-30,Osterferien
393,2018-03-31,Osterferien
394,2018-04-01,Osterferien
395,2018-04-02,Osterferien
396,2018-04-03,Osterferien
397,2018-04-04,Osterferien
398,2018-04-05,Osterferien
399,2018-04-06,Osterferien
400,2018-04-07,Osterferien
401,2018-05-19,Pfingstferien
402,2018-05-20,Pfingstferien
403,2018-05-21,Pfingstferien
404,2018-05-22,Pfingstferien
405,2018-05-23,Pfingstferien
406,2018-05-11,Pfingstferien
407,2018-05-12,Pfingstferien
408,2018-07-02,Sommerferien
409,2018-07-03,Sommerferien
410,2018-07-04,Sommerferien
411,2018-07-05,Sommerferien
412,2018-07-06,Sommerferien
413,2018-07-07,Sommerferien
414,2018-07-08,Sommerferien
415,2018-07-09,Sommerferien
416,2018-07-10,Sommerferien
417,2018-07-11,Sommerferien
418,2018-07-12,Sommerferien
419,2018-07-13,Sommerferien
420,2018-07-14,Sommerferien
421,2018-07-15,Sommerferien
422,2018-07-16,Sommerferien
423,2018-07-17,Sommerferien
424,2018-07-18,Sommerferien
425,2018-07-19,Sommerferien
426,2018-07-20,Sommerferien
427,2018-07-21,Sommerferien
428,2018-07-22,Sommerferien
429,2018-07-23,Sommerferien
430,2018-07-24,Sommerferien
431,2018-07-25,Sommerferien
432,2018-07-26,Sommerferien
433,2018-07-27,Sommerferien
434,2018-07-28,Sommerferien
435,2018-07-29,Sommerferien
436,2018-07-30,Sommerferien
437,2018-07-31,Sommerferien
438,2018-08-01,Sommerferien
439,2018-08-02,Sommerferien
440,2018-08-03,Sommerferien
441,2018-08-04,Sommerferien
442,2018-08-05,Sommerferien
443,2018-08-06,Sommerferien
444,2018-08-07,Sommerferien
445,2018-08-08,Sommerferien
446,2018-08-09,Sommerferien
447,2018-08-10,Sommerferien
448,2018-08-11,Sommerferien
449,2018-10-08,Herbstferien
450,2018-10-09,Herbstferien
451,2018-10-10,Herbstferien
452,2018-10-11,Herbstferien
453,2018-10-12,Herbstferien
454,2018-10-13,Herbstferien
455,2018-10-14,Herbstferien
456,2018-10-15,Herbstferien
457,2018-10-16,Herbstferien
458,2018-10-17,Herbstferien
459,2018-10-18,Herbstferien
460,2018-10-19,Herbstferien
461,2018-10-20,Herbstferien
462,2018-10-21,Herbstferien
463,2018-12-22,Weihnachtsferien
464,2018-12-23,Weihnachtsferien
465,2018-12-24,Weihnachtsferien
466,2018-12-25,Weihnachtsferien
467,2018-12-26,Weihnachtsferien
468,2018-12-27,Weihnachtsferien
469,2018-12-28,Weihnachtsferien
470,2018-12-29,Weihnachtsferien
471,2018-12-30,Weihnachtsferien
472,2018-12-31,Weihnachtsferien
473,2019-01-01,Weihnachtsferien
474,2019-01-02,Weihnachtsferien
475,2019-01-03,Weihnachtsferien
476,2019-01-04,Weihnachtsferien
477,2019-01-05,Weihnachtsferien
